MSSubClass,MSZoning,LotFrontage,LotArea,Street,Alley,LotShape,LandContour,Utilities,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,Heating,HeatingQC,CentralAir,Electrical,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,FireplaceQu,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,PoolQC,Fence,MiscFeature,MiscVal,MoSold,YrSold,SaleType,SaleCondition,SalePrice
20,0,4.2626798770413155,9.32375833901174,0,0,0,3,3,0,2.0,9,0,0,0,1,5,5,1965,1965,1,0,3,3,1,0.0,3,3,1,3.0,3.0,1.0,3.0,6.810142450115136,1.0,0,4.90527477843843,6.947937068614969,0,5,0,0,6.947937068614969,0.0,0,6.947937068614969,1,0,1,0,3,1,3,5,0,0,0.0,1,1965.0,1.0,1,5.953243334287785,3.0,3.0,0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0.0,2,2008,0,0,129500
60,0,4.454347296253507,9.386392315756542,0,0,1,3,3,0,2.0,10,0,0,0,0,9,5,2005,2006,1,0,5,2,2,5.659482215759621,5,3,0,5.0,3.0,1.0,6.0,6.906754778648554,1.0,0,5.181783550292085,7.069874128458572,0,5,0,0,7.075808863978387,7.04141166379481,0,7.751475318021456,1,0,3,0,4,1,5,11,0,2,4.0,2,2005.0,3.0,3,6.602587892189336,3.0,3.0,0,4.997212273764115,3.091042453358316,0,0,0,0.0,0.0,0.0,0,0.0,7,2006,1,2,345000
20,0,0.0,9.470317173335742,0,0,2,3,3,0,2.0,9,0,0,0,1,5,6,1962,1962,1,0,3,4,1,0.0,3,3,1,3.0,3.0,1.0,5.0,6.6039438246004725,1.0,0,5.170483995038151,6.816735880594968,0,3,0,0,6.816735880594968,0.0,0,6.816735880594968,1,0,1,0,2,1,3,4,0,0,0.0,1,1962.0,1.0,1,5.8664680569332965,3.0,3.0,0,4.948759890378168,0.0,0,0,176,0.0,0.0,0.0,0,0.0,9,2008,0,0,144000
20,0,4.5217885770490405,9.273596821611198,0,0,1,3,3,0,2.0,0,0,0,0,1,7,5,2006,2007,0,0,0,0,2,5.726847747587197,4,3,0,4.0,3.0,3.0,1.0,0.0,1.0,0,7.3098814858247865,7.3098814858247865,0,5,0,0,7.3098814858247865,0.0,0,7.3098814858247865,0,0,2,0,3,1,4,7,0,1,4.0,0,2006.0,2.0,3,6.734591659972948,3.0,3.0,0,5.081404364984463,3.5263605246161616,0,0,0,0.0,0.0,0.0,0,0.0,8,2007,1,2,279500
20,0,0.0,9.298442820197728,0,0,1,3,3,2,2.0,11,0,0,0,1,6,5,1960,1960,1,0,1,1,0,5.3612921657094255,3,3,1,3.0,3.0,1.0,4.0,6.598509028614515,1.0,0,6.255750041753367,7.134093721192866,0,3,0,0,7.134093721192866,0.0,0,7.134093721192866,1,0,1,1,2,1,3,5,0,1,2.0,0,1960.0,2.0,1,5.8664680569332965,3.0,3.0,0,0.0,5.365976015021851,176,0,0,0.0,0.0,1.0986122886681098,0,0.0,5,2008,0,0,157000
45,1,3.9512437185814275,8.71948076085107,0,0,0,3,3,2,2.0,8,0,0,0,3,7,8,1929,2001,0,0,2,5,1,0.0,3,3,2,3.0,3.0,1.0,1.0,0.0,1.0,0,6.725033642166843,6.725033642166843,0,5,0,2,6.75110146893676,0.0,0,6.75110146893676,0,0,1,0,2,1,3,5,0,0,0.0,1,1991.0,1.0,2,6.3578422665081,3.0,3.0,0,3.8918202981106265,4.727387818712341,0,0,0,0.0,0.0,1.6094379124341003,0,0.0,7,2007,0,0,132000
20,0,0.0,9.32741204356202,0,0,1,3,3,3,2.0,11,0,0,0,1,6,7,1970,1970,0,0,2,5,0,5.198497031265826,3,3,1,3.0,3.0,1.0,5.0,6.361302477572996,1.0,0,6.056784013228625,6.912742820493176,0,5,0,0,6.912742820493176,0.0,0,6.912742820493176,1,0,1,0,2,1,3,5,0,1,3.0,0,1970.0,3.0,2,6.175867270105761,3.0,3.0,0,0.0,0.0,0,0,0,0.0,0.0,0.0,1,6.55250788703459,3,2010,0,0,149000
90,0,4.290459441148391,9.286560397887591,0,0,0,3,3,0,2.0,9,0,0,2,1,4,5,1967,1967,0,0,1,1,1,0.0,3,3,4,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,3,0,0,7.167809184316444,0.0,0,7.167809184316444,0,0,2,0,2,2,3,6,0,0,0.0,3,1967.0,1.0,2,6.248042874508429,3.0,3.0,0,0.0,0.0,0,0,0,0.0,0.0,0.0,1,6.2166061010848646,10,2006,0,0,90000
20,0,4.204692619390966,9.524859098381523,0,0,0,3,3,0,2.0,12,4,0,0,1,5,5,2004,2004,0,0,0,0,1,0.0,3,3,0,3.0,3.0,1.0,6.0,6.472346294500901,1.0,0,6.150602768446279,7.016609683894219,0,5,0,0,7.016609683894219,0.0,0,7.016609683894219,1,0,1,1,3,1,4,6,0,0,0.0,1,2004.0,1.0,2,6.3578422665081,3.0,3.0,0,0.0,4.634728988229636,0,0,0,0.0,0.0,0.0,0,0.0,6,2008,0,0,159000
20,0,4.2626798770413155,8.93075873555827,0,0,0,3,3,0,2.0,11,0,0,0,1,5,6,1958,1965,1,0,4,4,1,0.0,3,3,1,3.0,3.0,1.0,2.0,6.22455842927536,1.0,0,6.26530121273771,6.937314081223682,0,3,0,0,7.200424892944957,0.0,0,7.200424892944957,0,0,1,0,3,1,3,6,1,0,0.0,0,1958.0,1.0,1,5.68697535633982,3.0,3.0,0,0.0,0.0,0,0,0,0.0,0.0,1.3862943611198906,0,0.0,5,2009,2,1,139000
60,0,4.624972813284271,9.562123369834488,0,0,1,3,3,2,2.0,10,0,0,0,0,8,5,2005,2006,0,0,0,0,0,5.942799375126701,4,3,0,5.0,3.0,3.0,1.0,0.0,1.0,0,7.055312843339752,7.055312843339752,0,5,0,0,7.055312843339752,7.105786129481271,0,7.773594467360194,0,0,3,1,4,1,4,9,0,1,4.0,2,2005.0,2.0,3,6.74993119378857,3.0,3.0,0,5.484796933490655,5.043425116919247,0,0,0,0.0,0.0,0.0,0,0.0,11,2006,1,2,325300
45,1,4.060443010546419,8.915969311373605,0,1,0,2,3,0,2.0,13,0,0,0,3,7,7,1930,1950,0,0,2,5,1,0.0,3,3,0,3.0,3.0,1.0,1.0,0.0,1.0,0,6.45833828334479,6.45833828334479,0,5,0,1,7.011213987350367,0.0,0,7.011213987350367,0,0,1,0,3,1,4,6,0,1,4.0,0,1930.0,1.0,1,5.638354669333745,3.0,3.0,1,0.0,0.0,205,0,0,0.0,0.0,1.6094379124341003,0,0.0,6,2007,0,0,139400
20,0,4.330733340286331,9.184304357425342,0,0,0,3,3,0,2.0,0,0,0,0,1,8,5,2002,2002,1,0,0,0,0,5.641907070938114,4,3,0,4.0,3.0,1.0,1.0,0.0,1.0,0,7.48324441607385,7.48324441607385,0,5,0,0,7.493317248862145,0.0,0,7.493317248862145,0,0,2,0,3,1,4,7,0,1,4.0,0,2002.0,2.0,2,6.282266746896006,3.0,3.0,0,5.147494476813453,5.075173815233827,0,0,0,0.0,0.0,0.0,0,0.0,9,2008,0,0,230000
120,1,3.8066624897703196,8.348774539791274,0,0,0,3,3,0,2.0,14,0,0,3,1,5,7,1976,1976,0,0,6,6,1,0.0,3,3,0,4.0,3.0,1.0,6.0,6.734591659972948,1.0,0,5.303304908059076,6.947937068614969,0,3,0,0,6.966967138613983,0.0,0,6.966967138613983,1,0,1,0,3,1,3,6,0,1,3.0,0,1976.0,1.0,2,6.35088571671474,3.0,3.0,0,4.61512051684126,4.709530201312334,0,0,0,0.0,0.0,0.0,0,0.0,6,2007,0,0,129900
20,0,0.0,9.017604776833355,0,0,1,3,3,0,2.0,9,0,0,0,1,5,8,1968,2001,0,0,7,4,1,0.0,3,4,1,3.0,3.0,2.0,3.0,5.241747015059643,5.0,668,5.3230099791384085,6.966967138613983,0,5,0,0,6.966967138613983,0.0,0,6.966967138613983,1,0,1,0,3,1,4,6,0,1,3.0,0,1968.0,1.0,1,5.602118820879701,3.0,3.0,0,6.008813185442595,4.51085950651685,0,0,0,0.0,0.0,1.3862943611198906,0,0.0,5,2010,0,0,154000
20,0,4.709530201312334,9.56317796268366,0,0,0,3,3,2,2.0,10,0,0,0,1,8,5,2007,2007,0,0,0,0,2,6.46302945692067,4,3,0,4.0,3.0,1.0,1.0,0.0,1.0,0,7.356918242356021,7.356918242356021,0,5,0,0,7.3783837129967145,0.0,0,7.3783837129967145,0,0,2,0,3,1,4,7,0,1,4.0,0,2007.0,2.0,3,6.792344427470809,3.0,3.0,0,0.0,4.04305126783455,0,0,0,0.0,0.0,0.0,0,0.0,7,2009,0,0,256300
20,0,4.110873864173311,8.881975184248867,0,0,0,3,3,2,2.0,11,0,0,0,1,5,7,1951,2000,0,0,2,5,1,0.0,3,3,1,3.0,3.0,2.0,4.0,5.459585514144159,3.0,486,5.198497031265826,6.803505257608338,0,3,0,0,6.803505257608338,0.0,0,6.803505257608338,0,1,1,0,3,1,4,5,0,0,0.0,1,2005.0,1.0,2,6.3578422665081,3.0,3.0,0,5.407171771460119,3.4965075614664802,0,0,0,0.0,0.0,0.0,0,0.0,5,2010,0,0,134800
20,0,4.59511985013459,9.348274558065496,0,0,0,3,3,0,2.0,10,0,0,0,1,8,5,2007,2008,0,0,0,0,2,5.303304908059076,4,3,0,5.0,3.0,1.0,6.0,7.105786129481271,1.0,0,6.18826412308259,7.4413203897176174,0,5,0,0,7.4413203897176174,0.0,0,7.4413203897176174,1,0,2,0,3,1,4,7,0,1,4.0,0,2008.0,2.0,3,6.650279048587422,3.0,3.0,0,0.0,3.9318256327243257,0,0,0,0.0,0.0,0.0,0,0.0,5,2010,0,0,306000
20,0,3.871201010907891,9.700269170029188,0,0,1,3,3,3,2.0,11,0,0,0,1,5,6,1957,1997,0,0,1,1,1,0.0,3,3,1,3.0,3.0,4.0,4.0,7.15305163493748,1.0,0,5.337538079701318,7.3031700512368,0,3,0,0,7.3783837129967145,0.0,0,7.3783837129967145,1,0,1,0,2,1,3,6,0,2,4.0,0,1957.0,2.0,1,5.768320995793772,3.0,3.0,0,5.666426688112432,5.556828061699537,0,0,0,0.0,0.0,0.0,0,0.0,12,2006,0,0,207500
30,1,4.110873864173311,8.752265313595721,0,0,1,3,3,0,2.0,8,1,2,0,1,4,6,1927,1950,0,0,1,1,1,0.0,3,3,2,3.0,3.0,1.0,1.0,0.0,1.0,0,6.255750041753367,6.255750041753367,0,2,1,0,6.255750041753367,0.0,0,6.255750041753367,0,0,1,0,1,1,2,4,0,0,0.0,1,1920.0,1.0,1,5.484796933490655,2.0,3.0,0,3.912023005428146,0.0,87,0,0,0.0,0.0,0.0,0,0.0,5,2008,0,0,68500
70,2,3.9318256327243257,9.04793908261736,0,2,0,3,3,0,2.0,13,1,0,0,0,4,4,1920,1950,2,0,4,7,1,0.0,3,2,2,3.0,3.0,1.0,1.0,0.0,1.0,0,6.476972362889683,6.476972362889683,0,3,1,0,6.476972362889683,6.505784060128229,0,7.183870715062453,0,0,1,0,3,1,3,6,0,0,0.0,1,1920.0,1.0,1,5.5254529391317835,3.0,2.0,1,0.0,4.007333185232471,172,0,0,0.0,0.0,1.3862943611198906,0,0.0,7,2008,0,0,40000
20,0,0.0,9.053101595549691,0,0,1,3,3,3,2.0,9,0,0,0,1,5,6,1966,2006,0,0,3,3,1,0.0,3,3,1,3.0,3.0,1.0,1.0,0.0,1.0,0,7.113956109566034,7.113956109566034,0,4,0,0,7.113956109566034,0.0,0,7.113956109566034,0,0,1,1,3,1,4,6,0,0,0.0,0,1966.0,1.0,1,5.605802066295998,3.0,3.0,0,0.0,4.189654742026425,0,0,0,0.0,0.0,1.3862943611198906,0,0.0,6,2008,0,0,149350
20,0,4.454347296253507,9.3101857069459,0,0,0,3,3,2,2.0,0,0,0,0,1,8,5,2007,2007,0,0,0,0,1,0.0,4,3,0,5.0,3.0,3.0,1.0,0.0,1.0,0,7.118826249062078,7.118826249062078,0,5,0,0,7.118826249062078,0.0,0,7.118826249062078,0,0,2,0,3,1,4,7,0,0,0.0,0,2007.0,2.0,2,6.184148890937483,3.0,3.0,0,0.0,3.4339872044851463,0,0,0,0.0,0.0,0.0,0,0.0,1,2008,0,0,179900
20,0,4.2626798770413155,9.26416545867109,0,0,1,3,3,0,2.0,11,0,0,0,1,5,5,1959,1959,1,0,4,7,1,0.0,3,3,1,3.0,3.0,1.0,3.0,6.926577033222725,1.0,0,5.942799375126701,7.243512974665482,0,4,0,0,7.438971592395862,0.0,0,7.438971592395862,0,1,1,1,4,1,4,6,0,1,4.0,0,1959.0,2.0,2,6.104793232414985,3.0,3.0,0,0.0,3.6635616461296463,0,0,0,0.0,0.0,0.0,0,0.0,4,2010,0,0,165500
120,0,4.110873864173311,8.897545598709327,0,0,0,3,3,0,2.0,10,0,0,3,1,9,5,2005,2005,1,0,1,1,0,5.5093883366279774,5,3,0,5.0,3.0,1.0,6.0,7.050989447068045,1.0,0,6.013715156042802,7.3537223303996315,0,5,0,0,7.3537223303996315,0.0,0,7.3537223303996315,1,0,2,0,2,1,5,6,0,1,4.0,0,2005.0,3.0,2,6.322565239927284,3.0,3.0,0,5.318119993844216,3.871201010907891,0,0,0,0.0,0.0,0.0,0,0.0,8,2007,0,0,277500
60,0,4.6913478822291435,9.504426892100957,0,0,0,3,3,0,2.0,10,0,0,0,0,8,5,2004,2005,0,0,0,0,2,4.890349128221754,4,3,0,5.0,3.0,3.0,1.0,0.0,1.0,0,7.0192966537150445,7.0192966537150445,0,5,0,0,7.0326242610280065,7.186144304522325,0,7.8050670442584895,0,0,3,1,4,1,4,9,0,1,4.0,2,2004.0,3.0,3,6.539585955617669,3.0,3.0,0,4.736198448394496,3.4965075614664802,0,0,0,0.0,0.0,0.0,0,0.0,9,2006,0,0,309000
20,0,4.727387818712341,9.292841593487926,0,0,0,3,3,2,2.0,0,0,0,0,1,5,5,1994,1995,0,0,0,0,1,0.0,3,3,0,4.0,3.0,1.0,1.0,0.0,1.0,0,7.001245622069476,7.001245622069476,0,5,0,0,7.001245622069476,0.0,0,7.001245622069476,0,0,1,1,3,1,3,6,0,0,0.0,0,1995.0,1.0,2,6.511745329644728,3.0,3.0,0,5.973809611869261,4.174387269895637,0,0,0,0.0,0.0,0.0,0,0.0,6,2009,0,0,145000
20,0,4.31748811353631,9.051696278536586,0,0,0,3,3,0,2.0,11,0,0,0,1,5,6,1954,1990,1,0,2,5,0,6.478509642208569,3,3,1,3.0,3.0,1.0,3.0,7.101675971619444,1.0,0,4.442651256490317,7.168579897264035,0,4,0,0,7.168579897264035,0.0,0,7.168579897264035,0,1,1,0,3,1,3,5,0,1,3.0,0,1954.0,3.0,2,6.212606095751519,3.0,3.0,0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0.0,10,2009,0,0,153000
20,0,4.23410650459726,8.977525200965243,0,0,0,3,3,0,2.0,11,0,0,0,1,5,7,1953,2007,0,0,0,0,1,0.0,3,4,1,3.0,3.0,1.0,6.0,6.595780513961311,1.0,0,5.7899601708972535,6.964135612418245,0,3,0,0,6.964135612418245,0.0,0,6.964135612418245,1,0,1,0,3,1,4,5,0,0,0.0,1,1953.0,1.0,1,5.5093883366279774,3.0,3.0,0,0.0,3.970291913552122,0,0,0,0.0,0.0,0.0,0,0.0,1,2010,0,1,109000
90,0,4.189654742026425,8.706324840138741,0,0,0,3,3,0,2.0,15,0,0,2,1,4,5,1955,1955,0,0,8,4,1,0.0,3,3,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,3,1,3,7.050122520269059,0.0,0,7.050122520269059,0,0,2,0,2,2,2,6,0,0,0.0,4,1978.0,0.0,0,0.0,0.0,0.0,1,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0.0,6,2008,0,3,82000
20,0,4.442651256490317,9.066354521447801,0,0,0,3,3,0,2.0,11,0,0,0,1,6,5,1965,1965,0,0,2,5,0,4.624972813284271,3,3,1,3.0,3.0,1.0,3.0,6.467698726104354,1.0,0,6.100318952020064,6.9930151229329605,0,5,0,0,7.1891677384203225,0.0,0,7.1891677384203225,0,0,2,0,3,1,3,6,0,1,3.0,0,1965.0,2.0,2,6.089044875446846,3.0,3.0,0,0.0,4.9344739331306915,0,0,0,0.0,0.0,1.0986122886681098,0,0.0,12,2006,0,1,160000
20,0,4.7535901911063645,9.735423867488873,0,0,0,3,3,0,2.0,16,0,0,0,1,5,6,1959,1959,0,0,0,0,1,0.0,3,4,1,3.0,3.0,4.0,4.0,6.875232087276577,1.0,0,5.950642552587727,7.208600337960199,0,4,0,0,7.192182058713246,0.0,0,7.192182058713246,0,1,1,1,2,1,3,5,0,2,4.0,0,1959.0,2.0,1,5.733341276897746,3.0,3.0,2,0.0,4.653960350157523,0,0,0,0.0,0.0,0.0,0,0.0,7,2007,0,0,170000
85,0,0.0,9.1248914101437,0,0,1,3,3,3,2.0,12,0,0,0,4,5,7,1983,1983,0,0,3,3,1,0.0,3,3,1,4.0,3.0,3.0,5.0,6.617402977974478,2.0,93,0.0,6.734591659972948,0,4,0,0,6.785587645007929,0.0,0,6.785587645007929,1,0,1,0,2,1,4,5,0,0,0.0,0,1983.0,2.0,2,6.22455842927536,3.0,4.0,0,5.484796933490655,0.0,0,0,0,0.0,0.0,1.3862943611198906,0,0.0,12,2007,0,0,144000
20,0,0.0,9.127067452782361,0,0,1,3,3,3,2.0,0,0,0,0,1,5,6,1975,1980,1,0,0,0,1,0.0,3,3,1,4.0,3.0,3.0,2.0,5.638354669333745,4.0,491,5.123963979403259,6.844815479208263,0,3,0,0,6.844815479208263,0.0,0,6.844815479208263,1,0,1,0,3,1,3,5,0,0,0.0,1,1977.0,1.0,1,5.733341276897746,3.0,3.0,0,4.983606621708336,0.0,0,0,0,0.0,0.0,1.3862943611198906,0,0.0,7,2008,0,0,130250
20,0,4.2626798770413155,8.980423936374544,0,0,0,3,3,0,2.0,11,0,0,0,1,5,6,1959,1959,0,0,4,5,1,0.0,3,3,1,3.0,3.0,1.0,5.0,5.19295685089021,4.0,506,6.144185634125646,7.048386408721883,0,5,0,2,7.048386408721883,0.0,0,7.048386408721883,1,0,1,0,3,1,3,6,0,0,0.0,0,1959.0,2.0,1,5.707110264748875,3.0,3.0,0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0.0,5,2006,0,0,141000
120,0,4.127134385045092,8.943636705909594,0,0,0,3,3,0,2.0,10,0,0,3,1,9,5,2005,2005,1,0,1,1,0,6.023447592961033,5,3,0,5.0,3.0,1.0,6.0,6.124683390894205,1.0,0,7.167809184316444,7.469083884921234,0,5,0,0,7.469083884921234,0.0,0,7.469083884921234,1,0,2,0,2,1,5,6,0,1,4.0,0,2005.0,2.0,2,6.3578422665081,3.0,3.0,0,5.2832037287379885,4.418840607796598,0,0,0,0.0,0.0,0.0,0,0.0,2,2010,0,0,319900
50,0,3.8918202981106265,9.458995712459116,0,0,1,3,3,3,2.0,4,0,0,0,2,7,5,2003,2003,0,0,0,0,1,0.0,4,3,0,5.0,3.0,1.0,6.0,7.20934025660291,1.0,0,4.430816798843313,7.268920128193722,0,5,0,0,7.325807502595773,6.448889394146858,0,7.673223121121708,1,0,1,1,1,1,4,6,0,1,5.0,0,2003.0,2.0,2,6.508769136971682,3.0,3.0,0,5.1298987149230735,3.784189633918261,0,0,198,0.0,0.0,0.0,0,0.0,8,2009,0,1,239686
20,3,4.442651256490317,9.314430080500564,0,0,0,3,3,0,2.0,5,0,0,0,1,8,5,2006,2006,0,0,0,0,1,0.0,4,3,0,4.0,3.0,3.0,6.0,3.2188758248682006,1.0,0,7.398174092970465,7.4127640174265625,0,5,0,0,7.4127640174265625,0.0,0,7.4127640174265625,0,0,2,0,3,1,4,7,0,0,0.0,0,2006.0,2.0,3,6.717804695023691,3.0,3.0,0,0.0,4.990432586778736,0,0,0,0.0,0.0,0.0,0,0.0,7,2007,0,0,249700
190,1,3.5263605246161616,8.402231172946555,0,0,0,3,3,0,2.0,7,0,0,1,0,4,5,1920,2008,0,0,1,1,1,0.0,3,3,2,3.0,3.0,1.0,1.0,0.0,1.0,0,6.602587892189336,6.602587892189336,0,4,0,0,6.602587892189336,6.57507584059962,0,7.2813856635702825,0,0,2,0,2,3,3,8,0,0,0.0,4,1978.0,0.0,0,0.0,0.0,0.0,1,0.0,0.0,102,0,0,0.0,0.0,0.0,0,0.0,6,2009,1,2,113000
